crop,stage,soil_N,soil_P,soil_K,temperature,rainfall,humidity,soil_pH,irrigation_type,recommended_N,recommended_P,recommended_K,risk
Wheat,Seedling,14,23,30,38.157322609250315,129.04914557412366,69.41533378975284,7.548946190251398,Sprinkler,103,34,10,Medium
Wheat,Flowering,72,19,29,27.107249036367918,147.87052755037547,66.5928739844087,5.699857337172451,Sprinkler,44,38,11,Low
Rice,Flowering,16,55,76,33.87435214806677,91.6826899983458,83.93145576867191,6.986270879211897,Flood,80,0,0,Low
Wheat,Seedling,36,59,37,20.670648694715588,192.47242121782912,78.12293428703452,8.13029691028525,Drip,79,0,5,Low
Cotton,Fruiting,24,33,12,22.998348546975475,107.31284880816037,76.1126284196533,7.660109609638223,Sprinkler,124,24,46,Medium
Cotton,Vegetative,52,31,73,36.535976556181566,289.76869864100695,57.12621285892717,6.182052949089961,Sprinkler,92,33,0,Medium
Wheat,Fruiting,71,22,64,31.85925810517643,75.5531660562999,85.93752611303732,7.87025391137226,Drip,46,42,0,Low
Cotton,Flowering,18,58,55,34.728884712494455,283.59175369225375,86.27842564533881,6.852518114212396,Flood,116,1,9,Medium
Rice,Fruiting,63,27,61,26.64292825309878,127.8610660114103,51.36978104385563,7.323683181382776,Sprinkler,35,22,0,Low
Rice,Fruiting,66,57,30,26.669983433822885,149.54217339773584,66.86978014689615,8.259566849238281,Flood,30,0,16,Low
Maize,Seedling,52,48,55,24.964528855143037,194.4079885228868,48.27566587139869,5.601637480739785,Drip,104,22,0,Medium
Cotton,Vegetative,94,53,75,39.51082631365513,164.74724700425327,67.86526844450239,8.081896053672201,Sprinkler,43,2,0,Low
Wheat,Fruiting,22,34,55,24.198111861911716,274.51357236017844,50.25698202410036,6.072063161991,Drip,103,28,0,Medium
Rice,Seedling,87,55,51,30.552954602895717,183.61397281431172,64.0543974193793,6.991035846463747,Sprinkler,6,0,1,Low
Wheat,Flowering,12,36,14,25.414893462871078,210.99988580975395,60.43670855490482,5.576159066981035,Flood,104,26,21,Medium
Wheat,Flowering,76,28,63,30.110157582120678,198.76224492510514,56.96356229480955,7.2083305532905015,Sprinkler,34,34,0,Low
Maize,Fruiting,97,18,36,37.11392936212572,257.5549661417479,59.85917648092274,7.504255409711939,Drip,56,53,0,Low
Maize,Vegetative,16,37,27,36.962561909337666,80.69422241567713,83.82220379376469,7.42877669084276,Flood,125,28,12,Medium
Cotton,Flowering,11,7,16,36.61309013130499,136.2980362203189,78.69172616006702,6.588273683997836,Drip,130,50,42,Medium
Rice,Vegetative,33,21,78,31.31553239933121,296.34182806043367,63.55327263469072,6.04632141646475,Flood,75,24,0,Low
Cotton,Vegetative,34,43,77,22.78712148145648,258.7325591998248,89.22010903517761,7.0770705469080575,Drip,97,18,0,Low
Maize,Vegetative,27,25,46,31.53032951028507,118.5138051718015,67.70890012578967,7.454261165055593,Flood,124,46,0,Medium
Rice,Vegetative,94,31,61,25.329967867417643,233.04614461476558,52.53653302807989,7.399294190072343,Drip,2,23,0,Low
Rice,Seedling,71,50,68,27.07742753122499,289.6567943283052,49.21854603394816,5.771010881732824,Sprinkler,29,2,0,Low
Wheat,Flowering,48,44,58,29.521008043981993,215.91779134066203,86.84148696623791,7.697716291630751,Drip,65,14,0,Low
Maize,Fruiting,90,49,77,35.41824407491644,76.64956328344294,43.75688908679044,7.68456626861081,Drip,60,23,0,Low
Wheat,Flowering,44,7,48,39.35398776414173,51.31345463959623,45.15468730068724,6.443789670428233,Sprinkler,82,48,0,Medium
Wheat,Flowering,56,16,66,39.16341586007861,239.59810348642037,71.94746926671309,7.777107536616549,Drip,69,44,0,Low
Wheat,Vegetative,98,16,19,33.8635042291385,62.8989516646775,73.49587322750196,5.6324963131303,Sprinkler,28,45,25,Low
Wheat,Vegetative,16,18,11,25.946980147451015,281.0990488441326,88.55291225826838,8.332799467340301,Flood,113,43,26,Medium
Rice,Flowering,26,18,35,27.29394498914612,190.1692985008785,64.05309419220433,8.154995069569843,Sprinkler,71,36,16,Medium
Maize,Fruiting,48,19,8,35.81446329677927,129.68812573301747,71.29456882185045,8.15793324470856,Flood,103,47,33,Medium
Maize,Vegetative,43,34,17,30.578742680544238,284.76692462822405,79.93916178868326,8.493802331600012,Drip,113,35,26,Medium
Cotton,Fruiting,19,34,29,26.72740927656844,180.62979790863076,76.61359035923226,5.510039086128938,Drip,124,28,27,Medium
Cotton,Vegetative,71,41,29,25.545312913935472,277.5847755143836,42.25503386101616,5.828402796037345,Drip,62,23,30,Low
Wheat,Seedling,52,10,43,37.58236615124329,286.1830055728526,63.37007556249348,7.340234167632123,Drip,64,48,0,Low
Maize,Fruiting,29,33,67,24.61138391610038,257.66062943765616,46.016938101749794,5.640836071443439,Drip,119,32,0,Medium
Maize,Fruiting,15,9,9,32.59555845992306,104.08100575913838,65.91301833381961,7.291822217291023,Drip,134,58,27,Medium
Rice,Vegetative,26,28,7,36.31666249981235,106.11014295916516,51.19088074113115,7.11092326868024,Drip,67,21,39,Medium
Maize,Seedling,65,7,33,37.774961597379544,288.91287455743833,83.10638086327253,7.928548224174634,Drip,79,59,9,Medium
Cotton,Flowering,47,12,9,20.975671633463463,183.1506298501905,88.10609862960249,5.828406580163362,Drip,95,43,47,Medium
Cotton,Seedling,71,33,62,31.426378838391482,215.52800252664116,67.18894539986997,8.093478640922045,Drip,64,29,0,Low
Cotton,Fruiting,68,52,45,26.680177574904757,109.67250782525437,86.50451752548693,5.817502281485752,Sprinkler,67,9,14,Low
Maize,Seedling,67,55,35,36.516335011295254,82.2174668683613,56.75594271295709,7.730524768874823,Sprinkler,90,13,1,Low
Rice,Seedling,21,43,70,25.740762663498256,204.23172959393554,89.05930890137117,7.395440581050005,Sprinkler,70,9,0,Low
Cotton,Vegetative,92,34,75,30.825331573522206,290.74800096474866,57.0936083019343,7.3978656794018445,Flood,42,26,0,Low
Cotton,Fruiting,77,31,68,34.16344177290563,66.83765036719292,69.10852300881366,6.53764917085887,Flood,70,25,0,Low
Maize,Flowering,61,16,11,21.31252289148026,255.37823685186024,58.59167646193623,7.956356930071281,Sprinkler,80,50,27,Medium
Wheat,Flowering,22,45,43,30.54048192423724,256.48019144997414,54.91872154949963,8.019841494017417,Sprinkler,101,13,0,Low
Maize,Flowering,76,21,60,28.64669602085204,285.90398004189973,60.986365846306114,7.415577842992256,Flood,82,52,0,Medium
Maize,Flowering,10,42,19,34.91674024061929,100.08978588717815,83.40614067452654,7.644772120606743,Flood,144,30,24,Medium
Wheat,Seedling,62,12,31,36.89566456233776,240.25599773574973,71.31101608157077,5.8937346330471625,Drip,50,46,12,Low
Rice,Vegetative,80,21,13,24.010494534006735,172.89863668535924,43.21044685375671,7.245914205743196,Drip,11,31,39,Low
Maize,Fruiting,86,21,76,29.2919719327162,220.1141565898313,59.77725419399843,8.42409955561207,Flood,64,52,0,Low
Cotton,Vegetative,50,12,15,29.610138945156578,76.23254460454372,52.10225079312637,8.45998777980144,Sprinkler,95,48,45,Medium
Cotton,Fruiting,42,14,44,20.195416948383674,131.61532706099797,65.88558216923558,5.7635994974345,Drip,88,44,20,Medium
Rice,Flowering,75,42,50,33.86387881645362,255.36018200246662,42.05917476396358,7.511156375063237,Sprinkler,17,8,3,Low
Rice,Seedling,41,45,12,38.947009252620774,206.32616505348696,79.17113629708074,7.336773957643474,Sprinkler,55,3,36,Low
Rice,Vegetative,31,30,7,20.815082121849457,90.9998702473743,61.93036082447692,7.674479679622175,Sprinkler,70,23,40,Medium
Rice,Flowering,64,50,49,23.642358313773986,247.42462678561978,72.9353887750438,6.9945871493594165,Flood,31,0,0,Low
Rice,Seedling,65,45,63,33.006513726938735,99.88561273228629,74.01141212156458,5.716595226937527,Sprinkler,39,0,0,Low
Cotton,Seedling,94,35,62,34.85413042399962,156.37333361201883,57.29674962734815,6.613116288953808,Flood,52,22,1,Low
Cotton,Vegetative,75,19,38,35.85912189211263,213.75233470802715,89.60666581703362,6.351563585825935,Drip,66,38,18,Medium
Cotton,Seedling,24,37,30,34.31649929364177,277.25813016641024,48.984155443512094,6.212629974771633,Flood,107,24,29,Medium
Wheat,Vegetative,50,58,64,28.10041598160643,198.22959995794545,68.97074496717504,7.487863837024961,Sprinkler,65,0,0,Low
Wheat,Fruiting,75,39,9,26.503801284493896,243.36828142165015,46.54368303591749,8.409463135235633,Sprinkler,45,25,28,Low
Rice,Vegetative,89,14,14,33.38780802918723,86.43914206118792,62.47169176068688,7.263653113331161,Drip,20,39,35,Low
Maize,Seedling,85,41,53,36.883408979383944,251.4175382375133,69.2677182198376,8.104813841539777,Sprinkler,74,25,0,Low
Wheat,Flowering,46,24,30,20.786870813370193,80.5274785025067,62.60995141417176,8.301625052583715,Drip,64,31,7,Low
Rice,Fruiting,29,57,47,20.34759580370959,130.78266426756966,88.65488740351732,7.240336689086404,Sprinkler,71,0,4,Low
Cotton,Vegetative,93,27,49,22.870847240787857,284.95494798171046,76.64494591706709,5.987145683986963,Drip,37,34,13,Low
Wheat,Fruiting,14,51,51,33.85251904452329,259.5288224120276,87.23071097370116,7.549744084868937,Flood,113,4,0,Low
Cotton,Flowering,85,31,76,35.910207433928065,279.66944924837605,70.0304771273118,8.322626069014195,Flood,60,28,0,Low
Rice,Vegetative,75,54,68,20.96424077721112,294.29354605532933,60.345398036143536,8.112260351011777,Drip,27,0,0,Low
Rice,Seedling,13,42,23,36.15691883882517,240.57128369415395,79.89068244293173,6.806749944438799,Sprinkler,77,10,27,Low
Maize,Seedling,94,19,69,27.32923069742796,149.04317290231384,74.7733603344931,6.665674303811038,Drip,46,46,0,Low
Maize,Fruiting,99,15,76,33.36425597110033,204.87258650240364,63.17470219002862,6.639357340537689,Flood,48,51,0,Low
Cotton,Seedling,35,29,16,22.979837119403893,181.6559493172399,52.30348293989991,6.930086425123477,Sprinkler,110,32,44,Medium
Rice,Vegetative,52,49,25,23.915559713670923,51.89071874453553,72.37373570773015,8.19409164684996,Drip,41,0,23,Low
Wheat,Seedling,95,23,38,23.326632154862843,204.33793935324354,66.15423622908924,7.510288103832825,Drip,29,34,4,Low
Cotton,Vegetative,45,34,22,27.998104136083125,294.18130966564473,81.158700779783,7.067443121548354,Sprinkler,96,30,39,Medium
Wheat,Flowering,80,53,46,23.70456893094819,279.43812229284435,61.226371259818094,5.7611168877629755,Flood,30,9,0,Low
Maize,Flowering,22,59,26,36.3837771885358,271.05161583710196,51.40398859744663,6.1361345197246795,Flood,127,13,16,Medium
Cotton,Seedling,35,31,41,26.0412100366959,232.98951689640865,82.55871304263854,7.514274008591843,Drip,112,26,17,Medium
Rice,Seedling,64,54,73,23.36028415489727,234.21843623604553,83.13985387716143,6.150219400272327,Drip,41,0,0,Low
Cotton,Flowering,41,15,14,25.137676952914298,208.00387150510463,42.922730705427696,5.925323180581305,Sprinkler,95,44,42,Medium
Maize,Vegetative,48,45,79,39.825119874043764,82.0985723635313,45.20548246920832,7.673016451386223,Flood,98,23,0,Medium
Wheat,Seedling,45,7,77,26.467431242310415,106.664100556747,57.74981529159686,5.70827152823828,Drip,66,52,0,Low
Cotton,Vegetative,81,54,71,30.659155731026708,131.08343827884391,56.6500956529099,7.508460865594571,Sprinkler,60,2,0,Low
Wheat,Flowering,96,34,12,31.609500134333494,72.19184852694212,88.08328679774067,7.4048801367731,Sprinkler,29,30,31,Low
Maize,Fruiting,21,21,20,33.29823448974436,248.8624901974323,86.35889097397263,6.203926245566361,Sprinkler,126,49,19,Medium
Cotton,Fruiting,74,34,25,21.858582887587797,114.26181660801997,79.39509941461324,8.094058576100622,Drip,71,26,33,Medium
Rice,Seedling,23,40,27,25.262251398216858,140.03410186787977,44.382137338191924,8.310873469093188,Drip,67,7,21,Low
Rice,Flowering,35,8,59,23.235284227042193,246.56898918927362,68.72936911588833,7.199726086514255,Flood,66,37,0,Low
Rice,Vegetative,54,39,34,37.55948640890139,267.0141725268626,80.29627000588106,7.870091308921184,Flood,44,10,13,Low
Rice,Flowering,11,39,24,31.460828578616987,283.1826851190637,68.75816752483125,6.938063320413555,Drip,82,6,26,Low
Rice,Seedling,61,7,45,36.50401534831136,216.57672145875992,46.08809555626374,6.934702069144217,Drip,43,41,3,Low
Rice,Seedling,69,10,36,24.320763650191992,204.8969887244574,72.51005461990766,5.956074559385945,Sprinkler,25,37,10,Low
Rice,Seedling,11,15,54,21.155611219927334,223.7588072146383,89.18394626317068,6.217540312647777,Sprinkler,87,32,0,Low
Cotton,Fruiting,13,8,44,36.279405390120374,203.80485955775274,55.312681039330585,7.371687508874915,Flood,123,48,15,Medium
Cotton,Flowering,71,39,11,30.510092439372798,170.4087116337156,48.84435725719272,6.661236281006893,Drip,60,20,49,Medium
Rice,Flowering,30,14,62,23.793896963493545,204.7370482519304,56.17501974557369,8.002910097864302,Drip,77,35,0,Low
Wheat,Flowering,69,15,67,29.986676699572364,116.50481950134518,47.46188889750881,5.881599288062349,Flood,60,41,0,Low
Maize,Seedling,61,33,42,27.84787443056949,289.0555476622371,46.65725020890485,5.806448588972614,Drip,87,32,0,Low
Cotton,Fruiting,38,37,14,38.606377696756475,113.26460820019614,79.05852118934595,7.975396587786111,Sprinkler,93,25,46,Medium
Cotton,Seedling,88,21,64,29.012393134595158,270.61486011402496,45.2846739953137,8.464825813000393,Sprinkler,46,41,0,Low
Wheat,Flowering,52,5,55,21.42513455530517,53.027118808721866,87.82506991497401,7.712525078377021,Flood,71,53,0,Medium
Maize,Flowering,16,55,32,27.096827205137807,153.0327325656929,67.48080218594623,7.99160336921452,Flood,129,10,10,Medium
Cotton,Fruiting,34,13,70,33.347007960928565,52.60692484935077,52.77067423426098,6.282139899759749,Drip,104,50,0,Medium
Maize,Vegetative,19,25,40,25.856440734019294,294.99258233971267,70.09407948181611,7.24726797462174,Sprinkler,136,41,4,Medium
Maize,Seedling,49,22,59,21.900233979846092,143.99822248532786,67.5045970229078,6.665958395889541,Flood,110,46,0,Medium
Cotton,Fruiting,60,50,25,25.7181357847832,253.9867347421543,83.0684998181718,8.039543016070834,Drip,84,6,34,Medium
Wheat,Vegetative,30,12,50,34.569813543232264,244.11186162493115,72.80809188405357,6.0322863084091205,Flood,90,51,0,Medium
Cotton,Seedling,22,22,6,22.63457546909124,231.49497749632388,80.88926649284726,6.140534098932016,Sprinkler,119,38,53,Medium
Wheat,Seedling,65,7,67,22.11861425116986,87.8923428969184,44.68784603227783,7.23151834986265,Drip,49,55,0,Low
Rice,Fruiting,81,5,9,37.62901559350043,119.47552431221696,49.697693363388744,8.139449457825815,Flood,19,48,45,Low
Wheat,Fruiting,55,43,31,33.7576821975983,143.81497611066658,66.93478336715195,7.072477512178487,Flood,66,12,12,Low
Rice,Seedling,29,15,20,22.977761006648894,126.40105387255372,83.83253809141003,8.489003012881742,Sprinkler,64,33,34,Medium
Cotton,Vegetative,35,41,58,33.91236292993614,50.80456590106967,70.97946687299203,6.566479031324072,Drip,107,17,0,Medium
Maize,Flowering,13,33,18,34.46809531224572,76.03433948007186,51.27193777318469,7.60883032293603,Flood,128,33,19,Medium
Maize,Fruiting,69,23,53,32.72981302098308,87.24993403731085,74.77078241640265,7.737775626441024,Flood,76,46,0,Medium
Cotton,Flowering,57,49,59,34.710112129750755,108.96439978592177,58.57110009365229,5.687626680692105,Sprinkler,87,14,1,Low
Wheat,Seedling,26,10,8,29.92332768226439,94.56311672616039,74.29556355249318,8.47337929546391,Sprinkler,90,53,36,Medium
Cotton,Seedling,70,14,54,23.30588221940349,225.06298986113026,69.2905072985951,7.259437276566121,Flood,76,43,5,Medium
Maize,Vegetative,44,50,30,37.45460500969204,260.48339169795213,49.305070892313864,7.907929929387131,Flood,100,18,10,Medium
Rice,Fruiting,48,54,39,28.737014052303593,232.37705716309918,78.27564494955548,5.976724503008061,Drip,61,0,14,Low
Cotton,Seedling,39,28,34,20.725752452270044,118.92996327388806,53.78061693394727,7.861379807804813,Flood,106,32,30,Medium
Wheat,Seedling,79,48,77,29.751423873467687,58.40340004582066,43.13266017276773,8.219312360033232,Drip,34,8,0,Low
Maize,Flowering,79,19,36,33.27579372351178,290.84860855338763,68.0084091730921,8.310467386099276,Flood,72,53,7,Medium
Wheat,Vegetative,30,22,73,33.08349202948149,99.52440818993503,68.2665127285805,6.891797460065009,Drip,91,41,0,Medium
Wheat,Vegetative,77,46,75,33.67508211154085,186.27638206517491,89.0258411000553,6.182228487584137,Flood,43,17,0,Low
Rice,Seedling,26,38,74,24.522941031798815,261.72968202213997,61.43152734852379,5.922878882565308,Flood,79,15,0,Low
Rice,Vegetative,25,52,55,33.01946934301908,186.35796735172636,43.11365529409428,7.0375079463109955,Sprinkler,74,0,0,Low
Maize,Seedling,73,36,11,37.44271400044953,186.21193977112893,77.92125089345555,7.762323040948492,Sprinkler,74,33,29,Medium
Cotton,Fruiting,23,31,44,39.6997931228175,243.0031190774976,41.35837106127799,5.695613773781476,Flood,109,31,11,Medium
Rice,Fruiting,15,43,56,29.033936384633655,149.34534762132913,44.67039859876478,6.823216474752352,Sprinkler,86,11,0,Low
Cotton,Fruiting,50,40,76,35.95828319231788,148.99261816561372,85.75450342035217,7.09908660173842,Flood,99,20,0,Low
Maize,Fruiting,12,49,7,37.94372681929238,92.21355166942153,65.35255519327205,7.294337888107054,Sprinkler,135,20,32,Medium
Cotton,Vegetative,79,50,23,37.648327368146774,250.9008838603838,65.26033867883191,8.401379845777512,Sprinkler,63,11,36,Low
Wheat,Vegetative,22,38,8,39.94156314163324,294.9456144636305,72.80670090102903,5.889479346855152,Drip,90,17,30,Medium
Wheat,Fruiting,43,30,9,39.46914779952346,134.2101254652758,54.82448906416576,8.254623998868325,Flood,85,33,27,Medium
Maize,Fruiting,82,25,7,37.596438279033904,181.35872813642322,52.2169970393233,5.838829625233521,Flood,58,44,30,Medium
Cotton,Vegetative,50,55,51,23.825208358291732,203.44435470392474,61.77527271990797,7.2317491923058395,Drip,84,2,4,Low
Cotton,Seedling,25,38,70,26.298391772259354,50.95428353108679,74.08347412008101,6.001396034413664,Drip,112,23,0,Medium
Cotton,Flowering,76,8,62,30.25309506290106,126.32766917418282,50.632218818554804,5.599568063687279,Drip,67,50,0,Low
Cotton,Seedling,48,13,10,33.41464623811668,190.11015774510997,45.54947346067405,6.841166631419276,Flood,95,45,49,Medium
Cotton,Vegetative,44,23,34,36.04708658318528,169.7675157758378,40.90000444726075,6.764332124737742,Flood,91,38,26,Medium
Cotton,Seedling,92,50,55,36.52078103333144,224.82884378155092,81.97304547503835,8.445396079781883,Flood,46,11,8,Low
Cotton,Flowering,56,56,18,24.368863657666143,80.06180662791891,43.41704677661302,6.289947351259601,Drip,74,6,40,Low
Wheat,Vegetative,84,57,63,34.60492294180292,199.70207409587286,43.22456356245838,8.1317183714866,Flood,34,3,0,Low
Cotton,Flowering,64,20,66,35.891565574003806,58.667566681620826,69.14034175417449,8.48631254857393,Flood,70,38,0,Low
